date,open,high,low,close
2019-05-13,141.521,142.164,141.36,141.483
2019-05-14,141.547,141.634,140.212,141.541
2019-05-15,140.579,140.791,140.204,140.636
2019-05-16,140.572,140.643,139.563,140.6
2019-05-19,140.214,140.507,139.745,140.236
2019-05-20,140.09,141.46,139.651,140.09
2019-05-21,140.451,140.681,139.343,140.493
2019-05-22,139.569,139.569,138.731,139.573
2019-05-23,138.717,139.477,138.531,138.722
2019-05-26,139.173,139.633,138.673,139.192
2019-05-27,138.844,138.996,138.26,138.86
2019-05-28,138.437,138.558,137.872,138.391
2019-05-29,138.337,138.719,138.186,138.335
2019-05-30,137.78,137.944,136.63,137.879
2019-06-02,136.798,137.111,136.616,136.761
2019-06-03,136.822,137.458,136.54,136.791
2019-06-04,137.479,137.758,137.2,137.49
2019-06-05,137.439,137.733,136.97,137.437
2019-06-06,137.69,138.165,137.493,137.689
2019-06-09,137.962,138.249,137.484,137.94
2019-06-10,137.528,138.312,137.48,137.508
2019-06-11,138.012,138.231,137.552,138.01
2019-06-12,137.723,137.772,137.132,137.697
2019-06-13,137.328,137.395,136.531,137.337
2019-06-16,136.713,136.926,136.353,136.738
2019-06-17,136.1,136.118,135.403,136.125
2019-06-18,136.433,136.974,135.804,136.427
2019-06-19,136.783,137.155,136.39,136.798
2019-06-20,136.316,136.752,135.93,136.322
2019-06-23,136.826,137.125,136.501,136.818
2019-06-24,136.749,136.829,135.814,136.715
2019-06-25,136.01,136.808,136.01,135.98
2019-06-26,136.759,137.3,136.466,136.755
2019-06-27,136.576,137.17,136.26,136.546
2019-06-30,137.543,137.543,136.74,137.57
2019-07-01,137.037,137.115,135.988,137.018
2019-07-02,135.818,135.818,135.174,135.78
2019-07-03,135.589,135.699,135.453,135.57
2019-07-04,135.654,135.836,135.47,135.637
2019-07-07,135.862,136.012,135.52,135.863
2019-07-08,136.05,136.267,135.407,136.05
2019-07-09,135.68,136.042,135.489,135.701
2019-07-10,135.478,136.038,135.077,135.505
2019-07-11,135.94,136.01,135.513,135.982
2019-07-14,135.52,135.828,135.067,135.56
2019-07-15,135.038,135.244,133.97,135.055
2019-07-16,134.262,134.484,133.971,134.28
2019-07-17,134.185,134.801,133.84,134.184
2019-07-18,134.725,134.989,134.566,134.693
2019-07-21,134.886,135.076,134.406,134.86
2019-07-22,134.53,134.96,134.331,134.57
2019-07-23,134.58,135.253,134.261,134.59
2019-07-24,135.055,135.641,134.712,135.063
2019-07-25,135.324,135.382,134.53,135.29
2019-07-28,134.43,134.45,132.939,134.441
2019-07-29,132.976,133.033,131.602,132.982
2019-07-30,131.969,132.961,131.84,132.018
2019-07-31,132.252,132.534,131.009,132.244
2019-08-01,130.231,130.399,129.09,130.24
2019-08-04,129.496,129.556,128.172,129.481
2019-08-05,128.382,130.054,128.382,128.367
2019-08-06,129.37,129.509,128.263,129.388
2019-08-07,128.841,129.317,128.34,128.84
2019-08-08,128.559,128.704,127.271,128.558
2019-08-11,126.695,127.477,126.655,126.666
2019-08-12,127.26,129.188,126.812,127.23
2019-08-13,128.554,128.634,127.567,128.58
2019-08-14,127.726,128.918,127.565,127.7
2019-08-15,128.278,129.544,128.14,128.258
2019-08-18,129.36,129.532,128.96,129.37
2019-08-19,129.252,129.392,128.27,129.254
2019-08-20,129.26,129.662,128.89,129.242
2019-08-21,129.307,130.631,128.758,129.314
2019-08-22,130.443,130.542,129.014,130.42
2019-08-25,128.572,130.017,128.572,128.554
2019-08-26,129.519,130.321,128.99,129.518
2019-08-27,129.868,130.062,128.536,129.875
2019-08-28,129.609,129.995,129.003,129.594
2019-08-29,129.73,129.794,129.183,129.692
2019-09-01,129.068,129.294,127.962,129.02
2019-09-02,128.11,128.23,126.72,128.118
2019-09-03,127.987,129.79,127.92,127.97
2019-09-04,130.211,132.092,129.969,130.198
2019-09-05,131.94,132.112,131.337,131.94
2019-09-08,131.34,132.516,130.824,131.356
2019-09-09,132.486,132.854,132.01,132.499
2019-09-10,132.88,133.354,132.7,132.915
2019-09-11,133.21,133.522,132.198,133.232
2019-09-12,133.375,134.753,133.302,133.366
2019-09-15,134.64,134.653,133.89,134.657
2019-09-16,134.382,135.171,133.985,134.398
2019-09-17,135.146,135.225,134.606,135.118
2019-09-18,135.204,135.218,134.28,135.198
2019-09-19,135.329,135.727,134.581,135.306
2019-09-22,134.213,134.53,133.35,134.24
2019-09-23,133.805,134.463,133.53,133.775
2019-09-24,133.806,133.976,132.859,133.783
2019-09-25,133.072,133.277,132.38,133.086
2019-09-26,132.829,133.266,132.32,132.846
2019-09-29,132.66,133.326,132.46,132.68
2019-09-30,132.78,133.32,131.791,132.79
2019-10-01,132.426,132.536,131.579,132.417
2019-10-02,131.839,132.526,131.48,131.842
2019-10-03,131.809,131.972,131.26,131.838
2019-10-06,131.68,131.934,131.306,131.672
2019-10-07,131.79,132.1,130.44,131.782
2019-10-08,130.688,131.705,130.659,130.687
2019-10-09,130.925,133.631,130.862,130.878
2019-10-10,134.07,137.809,134.07,134.11
2019-10-13,136.763,136.98,135.561,136.842
2019-10-14,136.62,139.206,136.511,136.667
2019-10-15,138.828,139.811,137.595,138.832
2019-10-16,139.289,141.344,138.689,139.334
2019-10-17,139.68,140.314,139.34,139.69
2019-10-20,139.848,141.307,139.777,139.836
2019-10-21,140.857,141.089,139.96,140.854
2019-10-22,139.747,140.037,139.08,139.743
2019-10-23,140.311,140.692,139.097,140.357
2019-10-24,139.45,139.744,139.01,139.42
2019-10-28,139.461,140.194,139.31,139.477
2019-10-29,140.085,140.515,139.475,140.083
2019-10-30,140.073,140.449,139.94,140.052
2019-10-31,140.359,140.656,139.75,140.342
2019-11-01,139.762,140.127,139.68,139.732
2019-11-04,139.982,140.213,139.91,139.997
2019-11-05,140.059,140.531,139.997,140.084
2019-11-06,140.538,140.574,140.06,140.575
2019-11-07,140.014,140.523,139.487,140.014
2019-11-08,140.08,140.198,139.488,140.081
2019-11-11,139.739,140.459,139.36,139.744
2019-11-12,140.136,140.572,139.948,140.134
2019-11-13,140.057,140.24,139.45,140.066
2019-11-14,139.795,139.846,139.39,139.83
2019-11-15,139.741,140.439,139.66,139.745
2019-11-18,140.424,141.529,140.39,140.43
2019-11-19,140.717,140.913,140.27,140.691
2019-11-20,140.246,140.439,139.728,140.198
2019-11-21,140.223,140.853,139.967,140.19
2019-11-22,140.26,140.444,139.334,140.25
2019-11-25,139.713,140.607,139.64,139.7
2019-11-26,140.565,140.853,139.99,140.555
2019-11-27,140.27,140.972,140.03,140.298
2019-11-28,141.417,141.744,141.23,141.37
2019-11-29,141.367,141.681,141.129,141.394
2019-12-02,141.403,141.799,140.972,141.424
2019-12-03,141.029,141.696,140.921,141.066
